#modulus
100
#poisson
0.4999
#plane_strain
1
#nodes
297
12.00	0.00
12.00	1.00
12.00	0.25
12.00	0.50
12.00	0.75
0.00	1.00
11.25	1.00
10.50	1.00
9.75	1.00
9.00	1.00
8.25	1.00
7.50	1.00
6.75	1.00
6.00	1.00
5.25	1.00
4.50	1.00
3.75	1.00
3.00	1.00
2.25	1.00
1.50	1.00
0.75	1.00
0.00	0.00
0.00	0.75
0.00	0.50
0.00	0.25
0.75	0.00
1.50	0.00
2.25	0.00
3.00	0.00
3.75	0.00
4.50	0.00
5.25	0.00
6.00	0.00
6.75	0.00
7.50	0.00
8.25	0.00
9.00	0.00
9.75	0.00
10.50	0.00
11.25	0.00
11.25	0.25
11.25	0.50
11.25	0.75
10.50	0.25
10.50	0.50
10.50	0.75
9.75	0.25
9.75	0.50
9.75	0.75
9.00	0.25
9.00	0.50
9.00	0.75
8.25	0.25
8.25	0.50
8.25	0.75
7.50	0.25
7.50	0.50
7.50	0.75
6.75	0.25
6.75	0.50
6.75	0.75
6.00	0.25
6.00	0.50
6.00	0.75
5.25	0.25
5.25	0.50
5.25	0.75
4.50	0.25
4.50	0.50
4.50	0.75
3.75	0.25
3.75	0.50
3.75	0.75
3.00	0.25
3.00	0.50
3.00	0.75
2.25	0.25
2.25	0.50
2.25	0.75
1.50	0.25
1.50	0.50
1.50	0.75
0.75	0.25
0.75	0.50
0.75	0.75
12.00	0.13
12.00	0.38
12.00	0.63
12.00	0.88
11.63	1.00
10.88	1.00
10.13	1.00
9.38	1.00
8.63	1.00
7.88	1.00
7.13	1.00
6.38	1.00
5.63	1.00
4.88	1.00
4.13	1.00
3.38	1.00
2.63	1.00
1.88	1.00
1.13	1.00
0.38	1.00
0.00	0.88
0.00	0.63
0.00	0.38
0.00	0.13
0.38	0.00
1.13	0.00
1.88	0.00
2.63	0.00
3.38	0.00
4.13	0.00
4.88	0.00
5.63	0.00
6.38	0.00
7.13	0.00
7.88	0.00
8.63	0.00
9.38	0.00
10.13	0.00
10.88	0.00
11.63	0.00
11.63	0.25
11.25	0.13
11.63	0.50
11.25	0.38
11.63	0.75
11.25	0.63
11.25	0.88
10.88	0.25
10.50	0.13
10.88	0.50
10.50	0.38
10.88	0.75
10.50	0.63
10.50	0.88
10.13	0.25
9.75	0.13
10.13	0.50
9.75	0.38
10.13	0.75
9.75	0.63
9.75	0.88
9.38	0.25
9.00	0.13
9.38	0.50
9.00	0.38
9.38	0.75
9.00	0.63
9.00	0.88
8.63	0.25
8.25	0.13
8.63	0.50
8.25	0.38
8.63	0.75
8.25	0.63
8.25	0.88
7.88	0.25
7.50	0.13
7.88	0.50
7.50	0.38
7.88	0.75
7.50	0.63
7.50	0.88
7.13	0.25
6.75	0.13
7.13	0.50
6.75	0.38
7.13	0.75
6.75	0.63
6.75	0.88
6.38	0.25
6.00	0.13
6.38	0.50
6.00	0.38
6.38	0.75
6.00	0.63
6.00	0.88
5.63	0.25
5.25	0.13
5.63	0.50
5.25	0.38
5.63	0.75
5.25	0.63
5.25	0.88
4.88	0.25
4.50	0.13
4.88	0.50
4.50	0.38
4.88	0.75
4.50	0.63
4.50	0.88
4.13	0.25
3.75	0.13
4.13	0.50
3.75	0.38
4.13	0.75
3.75	0.63
3.75	0.88
3.38	0.25
3.00	0.13
3.38	0.50
3.00	0.38
3.38	0.75
3.00	0.63
3.00	0.88
2.63	0.25
2.25	0.13
2.63	0.50
2.25	0.38
2.63	0.75
2.25	0.63
2.25	0.88
1.88	0.25
1.50	0.13
1.88	0.50
1.50	0.38
1.88	0.75
1.50	0.63
1.50	0.88
1.13	0.25
0.75	0.13
1.13	0.50
0.75	0.38
1.13	0.75
0.75	0.63
0.75	0.88
0.38	0.25
0.38	0.50
0.38	0.75
11.63	0.13
11.63	0.38
11.63	0.63
11.63	0.88
10.88	0.13
10.88	0.38
10.88	0.63
10.88	0.88
10.13	0.13
10.13	0.38
10.13	0.63
10.13	0.88
9.38	0.13
9.38	0.38
9.38	0.63
9.38	0.88
8.63	0.13
8.63	0.38
8.63	0.63
8.63	0.88
7.88	0.13
7.88	0.38
7.88	0.63
7.88	0.88
7.13	0.13
7.13	0.38
7.13	0.63
7.13	0.88
6.38	0.13
